tempo,valor
03/02/2014,18.84
03/02/2014,20.41
03/02/2014,21.98
03/02/2014,18.84
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,17.27
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,18.84
03/02/2014,18.84
03/02/2014,18.84
03/02/2014,17.27
03/02/2014,18.84
03/02/2014,20.41
03/02/2014,31.4
03/02/2014,29.83
03/02/2014,0
03/02/2014,28.26
03/02/2014,28.26
03/02/2014,28.26
03/02/2014,26.69
03/02/2014,26.69
03/02/2014,26.69
03/02/2014,28.26
03/02/2014,28.26
03/02/2014,28.26
03/02/2014,29.83
03/02/2014,31.4
03/02/2014,31.4
03/02/2014,28.26
03/02/2014,29.83
03/02/2014,26.69
03/02/2014,28.26
03/02/2014,28.26
03/02/2014,28.26
03/02/2014,29.83
03/02/2014,28.26
03/02/2014,28.26
03/02/2014,28.26
03/02/2014,26.69
03/02/2014,29.83
03/02/2014,28.26
03/02/2014,28.26
03/02/2014,28.26
03/02/2014,28.26
03/02/2014,26.69
03/02/2014,29.83
03/02/2014,31.4
03/02/2014,28.26
03/02/2014,28.26
03/02/2014,28.26
03/02/2014,28.26
03/02/2014,26.69
03/02/2014,28.26
03/02/2014,29.83
03/02/2014,26.69
03/02/2014,28.26
03/02/2014,28.26
03/02/2014,28.26
03/02/2014,28.26
03/02/2014,28.26
03/02/2014,29.83
03/02/2014,29.83
03/02/2014,28.26
03/02/2014,28.26
03/02/2014,31.4
03/02/2014,31.4
03/02/2014,29.83
03/02/2014,34.54
03/02/2014,32.97
03/02/2014,34.54
03/02/2014,36.11
03/02/2014,36.11
03/02/2014,34.54
03/02/2014,31.4
03/02/2014,34.54
03/02/2014,32.97
03/02/2014,34.54
03/02/2014,32.97
03/02/2014,34.54
03/02/2014,32.97
04/02/2014,31.4
04/02/2014,29.83
04/02/2014,29.83
04/02/2014,29.83
04/02/2014,29.83
04/02/2014,31.4
04/02/2014,28.26
05/02/2014,31.4
05/02/2014,29.83
05/02/2014,26.69
05/02/2014,31.4
05/02/2014,28.26
05/02/2014,29.83
05/02/2014,29.83
05/02/2014,28.26
05/02/2014,28.26
06/02/2014,26.69
06/02/2014,29.83
06/02/2014,28.26
06/02/2014,28.26
06/02/2014,29.83
06/02/2014,28.26
06/02/2014,28.26
06/02/2014,28.26
07/02/2014,29.83
07/02/2014,26.69
07/02/2014,28.26
07/02/2014,28.26
07/02/2014,26.69
07/02/2014,25.12
07/02/2014,28.26
07/02/2014,29.83
07/02/2014,28.26
07/02/2014,28.26
07/02/2014,26.69
07/02/2014,28.26
07/02/2014,29.83
08/02/2014,31.4
08/02/2014,26.69
08/02/2014,40.82
08/02/2014,28.26
08/02/2014,29.83
08/02/2014,28.26
09/02/2014,26.69
09/02/2014,28.26
09/02/2014,28.26
10/02/2014,28.26
10/02/2014,25.12
10/02/2014,25.12
10/02/2014,25.12
10/02/2014,26.69
10/02/2014,23.55
10/02/2014,23.55
10/02/2014,25.12
10/02/2014,23.55
10/02/2014,32.97
11/02/2014,29.83
11/02/2014,31.4
11/02/2014,29.83
12/02/2014,28.26
12/02/2014,29.83
12/02/2014,28.26
12/02/2014,28.26
12/02/2014,31.4
12/02/2014,29.83
12/02/2014,28.26
12/02/2014,29.83
12/02/2014,29.83
12/02/2014,31.4
12/02/2014,29.83
12/02/2014,28.26
12/02/2014,28.26
12/02/2014,29.83
12/02/2014,29.83
12/02/2014,28.26
12/02/2014,29.83
12/02/2014,29.83
12/02/2014,29.83
12/02/2014,26.69
12/02/2014,0
12/02/2014,31.4
12/02/2014,31.4
12/02/2014,32.97
12/02/2014,31.4
12/02/2014,31.4
12/02/2014,29.83
12/02/2014,31.4
12/02/2014,31.4
12/02/2014,31.4
12/02/2014,29.83
12/02/2014,31.4
12/02/2014,31.4
12/02/2014,31.4
12/02/2014,29.83
12/02/2014,31.4
12/02/2014,31.4
12/02/2014,31.4
12/02/2014,29.83
12/02/2014,31.4
12/02/2014,31.4
12/02/2014,31.4
12/02/2014,31.4
12/02/2014,29.83
12/02/2014,31.4
12/02/2014,31.4
12/02/2014,32.97
12/02/2014,31.4
12/02/2014,32.97
12/02/2014,31.4
12/02/2014,32.97
12/02/2014,29.83
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
12/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
13/02/2014,0
